6400	9600
0.5	3	154	174	287	354	409	503	614	705	792	872	915	979	1055	1150	1229	1315	1437	1498	1559	1653	1694	1788	1909	1946	2038	2149	2215	2274	2358	2478	2529	2576	2640	2756	2828	2950	2982	3058	3195	3246	3307	3414	3477	3558	3608	3715	3829	3842	3971	4007	4138	4176	4294	4375	4418	4512	4568	4698	4763	4800	4952	5037	5086	5188	5265	5309	5415	5476	5526	5650	5724	5774	5902	5941	6028	6143	6235	6302	6398
0.5	32	125	189	289	382	427	501	608	707	797	842	929	1012	1109	1143	1250	1349	1433	1463	1593	1604	1741	1817	1900	1972	2075	2088	2208	2305	2324	2465	2499	2619	2643	2774	2842	2937	2974	3079	3145	3204	3319	3392	3515	3561	3670	3706	3819	3905	3950	4030	4122	4232	4278	4327	4432	4540	4566	4641	4720	4807	4953	4991	5073	5186	5243	5347	5409	5516	5590	5660	5746	5764	5848	5995	6037	6085	6215	6297	6352
0.5	69	133	188	287	322	410	508	617	709	773	809	934	1019	1110	1154	1200	1290	1378	1457	1548	1649	1708	1827	1872	1935	2038	2145	2233	2243	2346	2443	2504	2586	2644	2799	2803	2929	3024	3063	3142	3268	3326	3397	3478	3563	3652	3712	3760	3912	3986	4042	4133	4231	4308	4324	4427	4545	4574	4681	4788	4828	4913	4975	5119	5192	5278	5353	5432	5450	5569	5667	5713	5810	5845	5922	6075	6091	6185	6245	6378
-0.5	49	145	223	256	325	459	514	605	653	791	855	927	1003	1083	1186	1214	1280	1372	1458	1548	1673	1747	1764	1871	1965	2050	2120	2201	2319	2356	2405	2524	2593	2656	2757	2843	2884	3013	3080	3193	3230	3332	3418	3470	3586	3637	3711	3788	3846	3993	4048	4113	4235	4268	4397	4463	4551	4574	4705	4799	4818	4959	4973	5076	5161	5203	5328	5439	5442	5528	5664	5734	5785	5858	5937	6014	6089	6224	6244	6373
-0.5	34	94	178	298	397	444	531	572	671	732	846	890	1038	1067	1147	1279	1300	1410	1454	1560	1629	1744	1827	1871	1969	2030	2148	2224	2291	2391	2460	2546	2594	2700	2756	2831	2946	3033	3089	3187	3214	3301	3435	3510	3574	3616	3687	3815	3908	3961	4010	4097	4196	4295	4334	4474	4507	4626	4678	4781	4804	4935	4971	5114	5158	5270	5306	5426	5476	5599	5667	5685	5830	5844	5941	6010	6101	6173	6298	6384
-0.5	55	148	206	248	355	477	506	627	675	792	837	934	983	1060	1165	1258	1300	1403	1458	1522	1638	1735	1799	1878	1978	2008	2130	2219	2262	2338	2462	2506	2574	2715	2723	2867	2942	3024	3113	3163	3201	3353	3397	3496	3524	3654	3757	3826	3892	3925	4003	4082	4234	4251	4335	4468	4503	4634	4667	4754	4811	4900	4978	5063	5131	5241	5345	5410	5483	5548	5664	5683	5814	5847	5940	6019	6131	6181	6280	6364
-0.5	59	130	160	263	382	421	546	566	645	796	864	908	961	1080	1140	1252	1314	1436	1444	1549	1663	1734	1821	1886	1939	2013	2094	2161	2255	2367	2422	2489	2593	2687	2721	2867	2890	3032	3092	3155	3236	3313	3422	3470	3552	3677	3752	3766	3877	3979	4028	4130	4230	4316	4364	4413	4534	4565	4689	4792	4807	4929	5027	5112	5137	5265	5328	5410	5499	5570	5654	5737	5836	5885	5966	6054	6099	6237	6279	6333
0.5	0	95	192	317	398	479	502	566	677	726	803	908	998	1047	1178	1248	1322	1429	1511	1535	1679	1729	1811	1850	1954	2063	2146	2229	2269	2375	2453	2523	2601	2663	2749	2807	2939	3025	3092	3172	3202	3335	3395	3444	3596	3667	3727	3800	3867	3972	4006	4113	4228	4259	4377	4401	4543	4602	4640	4788	4878	4919	4996	5095	5165	5202	5350	5371	5475	5556	5674	5731	5827	5860	5943	6015	6083	6186	6270	6381
-0.5	50	97	230	301	379	404	545	561	677	789	817	885	969	1067	1130	1204	1322	1424	1458	1541	1665	1684	1784	1869	1967	2019	2131	2198	2282	2362	2402	2554	2595	2654	2772	2867	2904	3006	3088	3143	3212	3317	3424	3444	3546	3608	3680	3771	3917	3938	4024	4145	4229	4292	4387	4437	4556	4576	4652	4729	4800	4906	4986	5074	5131	5259	5323	5428	5503	5587	5669	5729	5799	5849	5946	6055	6133	6198	6311	6373
-0.5	12	125	202	309	387	405	492	565	714	779	825	932	982	1064	1144	1217	1294	1365	1503	1569	1675	1720	1825	1915	1924	2020	2140	2212	2266	2398	2430	2533	2608	2709	2755	2858	2959	2980	3105	3185	3247	3311	3427	3510	3593	3656	3685	3821	3912	3991	4011	4117	4211	4300	4388	4421	4535	4618	4704	4744	4836	4953	5012	5116	5121	5226	5335	5410	5514	5526	5619	5684	5803	5856	5950	6055	6133	6219	6315	6357
0.5	18	85	229	257	369	409	496	626	645	753	873	888	1013	1100	1187	1220	1359	1386	1451	1571	1602	1750	1812	1856	1936	2015	2132	2175	2279	2339	2412	2499	2599	2659	2791	2847	2950	3018	3100	3165	3265	3313	3401	3469	3583	3659	3707	3832	3918	3943	4073	4139	4223	4301	4389	4444	4494	4606	4670	4741	4816	4954	5002	5085	5168	5213	5349	5385	5444	5553	5655	5712	5812	5911	5954	6064	6110	6205	6282	6344
0.5	1	159	163	259	388	460	510	611	713	751	858	904	1021	1101	1121	1209	1343	1423	1454	1544	1643	1707	1812	1894	1998	2041	2132	2173	2293	2333	2461	2508	2622	2711	2778	2850	2935	3034	3071	3194	3267	3314	3397	3518	3568	3659	3716	3789	3860	3979	4018	4124	4211	4262	4380	4433	4484	4585	4684	4726	4848	4934	4999	5067	5165	5248	5315	5365	5488	5540	5635	5720	5775	5871	5938	6079	6086	6214	6298	6393
-0.5	67	112	193	243	321	437	494	625	647	744	823	886	993	1069	1146	1265	1330	1360	1468	1565	1609	1734	1790	1843	1926	2041	2084	2229	2310	2320	2409	2554	2597	2688	2756	2839	2923	3036	3072	3192	3219	3343	3418	3484	3592	3600	3734	3810	3886	3979	4029	4157	4183	4270	4381	4419	4539	4578	4661	4736	4833	4952	5002	5106	5194	5238	5288	5372	5498	5523	5653	5733	5771	5848	5937	6017	6146	6215	6272	6322
-0.5	66	129	171	293	341	447	494	611	716	788	866	919	1035	1107	1166	1267	1299	1419	1503	1580	1640	1744	1775	1919	1997	2004	2159	2164	2253	2326	2466	2517	2580	2702	2792	2831	2914	2996	3041	3185	3242	3352	3433	3487	3585	3619	3757	3835	3901	3920	4030	4131	4219	4304	4398	4455	4483	4619	4654	4732	4823	4944	5035	5059	5187	5237	5352	5378	5484	5578	5662	5685	5823	5894	5988	6064	6101	6235	6279	6391
-0.5	11	83	170	284	392	435	538	613	658	746	875	958	1036	1055	1160	1273	1320	1363	1447	1598	1615	1749	1818	1888	1949	2014	2103	2162	2278	2367	2439	2533	2586	2687	2723	2831	2928	2998	3052	3149	3269	3300	3382	3456	3548	3666	3741	3814	3872	3940	4039	4104	4221	4290	4355	4419	4557	4560	4697	4783	4863	4936	5011	5092	5183	5228	5310	5364	5493	5559	5674	5684	5792	5875	5958	6041	6132	6191	6281	6398
-0.5	68	82	188	242	327	404	489	637	682	760	805	905	1026	1106	1156	1252	1283	1422	1480	1559	1606	1701	1766	1908	1988	2028	2088	2225	2250	2396	2447	2485	2615	2703	2724	2865	2916	3026	3047	3132	3271	3351	3409	3486	3570	3646	3720	3779	3896	3990	4047	4133	4214	4282	4337	4414	4499	4628	4718	4743	4879	4934	5001	5060	5175	5212	5280	5398	5480	5565	5636	5722	5801	5896	5977	6012	6125	6215	6302	6325
-0.5	27	125	206	251	364	445	519	569	685	765	810	906	1039	1089	1167	1225	1333	1409	1519	1558	1661	1719	1803	1853	1961	2057	2096	2220	2275	2369	2452	2541	2621	2715	2768	2855	2894	3007	3057	3130	3254	3335	3373	3506	3555	3661	3696	3787	3917	3998	4027	4143	4236	4300	4330	4412	4524	4595	4674	4756	4873	4922	4963	5059	5183	5255	5343	5409	5479	5591	5617	5680	5820	5851	5978	6009	6114	6222	6244	6380
